id,text,is_similar
60129654,2pc Woven Top and LONG SLEEVE2pc Woven Top and Bloomer Outfit PINKnan BCI COTTONOUTFITS COTTON MIXNO CHARACTER AUTOGRAPHnan PATTERNEDnan nannan PULL ONnan A LAYETTETWO PIECE SET TOP & BOTTOMNEWBORN GIRL nan 2017I,1
60179965,Boys Older LSBS LONG SLEEVEOlder Long Sleeve Bodysuit BLUE MIXnan BCI COTTONBODYSUITS COTTONNO CHARACTER M S BRANDFLAT SEAMS STRIPEDnan nannan POPPER FASTENINGnan SPECIALISTnan BODYSUITSBOYS nan 4530,0
60176418,Babyccino BS SHORT SLEEVEBabyccino Bodysuit WHITE MIXnan BCI COTTONBODYSUITS COTTONNO CHARACTER M S BRANDFLAT SEAMS PATTERNEDnan nannan POPPER FASTENINGnan M AND S BABY UNISEXnan BODYSUITNEWBORN UNISEX nan 7650C,0
60176033,2pc Stripe OF SHORT SLEEVE2pc Stripe Face Jogger Outfit BLUE MIXnan BCI COTTONOUTFITS COTTONNO CHARACTER M S BRANDnan nannan nannan PULL ONnan D BLUE AND WHITE BOYTWO TOP & BOTTOMNEWBORN BOY nan 4578D,1
60176838,Flamingo Romper SLEEVELESSWoven Flamingo Romper BLUE MIXnan BCI COTTONALL-IN-ONES COTTONNO CHARACTER M S BRANDnan nannan nannan POPPER FASTENINGnan D BIG BRIGHTSTWO PIECE SET ROMPERNEWBORN GIRL nan 2309S,1
60192980,Velour SS LONG SLEEVEVelour Striped Sleepsuit BLUE MIXnan BCI COTTONSLEEPSUITS COTTONNO CHARACTER M S BRANDBABY SAFE TOES STRIPEDnan nanANTI SLIP POPPER FASTENINGnan M AND S BABY BOYnan SLEEPSUITSNEWBORN BOY nan 4539B,1
60162273,2pc Stripe OF SHORT SLEEVE2pc Stripe Face Jogger Outfit BLUE MIXnan BCI COTTONOUTFITS COTTONNO CHARACTER M S BRANDnan nannan nannan PULL ONnan D BLUE AND WHITE BOYTWO TOP & BOTTOMNEWBORN BOY nan 4578D,0
60136358,Unisx Older SSBS SHORT SLEEVEUnisex Older Short Sleeve Bodysuit WHITEnan BCI COTTONBODYSUITS COTTONNO CHARACTER M S BRANDFLAT SEAMS PLAINnan nannan POPPER FASTENINGnan SPECIALISTnan BODYSUITSNEWBORN UNISEX nan 4585,0
60155673,2pc Cord Dungaree LONG SLEEVE2pc Cord Dungaree GREEN MIXnan nanOUTFITS nanNO CHARACTER M S BRANDnan PLAINnan nannan nannan D BEAUTIFULLY GENERICTWO DUNGAREESNEWBORN BOY nan 4504T,0
60133800,Older SLBS SLEEVELESSOlder Sleeveless Bodysuit PINK MIXnan BCI COTTONBODYSUITS COTTONNO CHARACTER M S BRANDFLAT SEAMS STRIPEDnan nannan POPPER FASTENINGnan SPECIALISTnan BODYSUITSGIRLS nan 4491,0
60129768,Babyccino BS SHORT SLEEVEBabyccino Bodysuit WHITE MIXnan BCI COTTONBODYSUITS COTTONNO CHARACTER M S BRANDFLAT SEAMS PATTERNEDnan nannan POPPER FASTENINGnan M AND S BABY UNISEXnan BODYSUITNEWBORN UNISEX nan 7650C,1
60199266,2pc Short Tee OF SHORT SLEEVE2pc Shorts and Print Tee Outfit RED MIXnan nanOUTFITS COTTON MIXNO CHARACTER M S BRANDnan nannan nannan PULL ONnan D BIG BRIGHTSTWO PIECE SET TOP & BOTTOMNEWBORN BOY nan 4315S,0
