,sentences1,sentences2,is_similar
0,03 QUARTER SLEEVE 1PULL ON 2KNEE LENGTH 3REGULAR FIT 4PLAIN 2KNEE LENGTH 6ROUND NECK 7UNLINED 8POLYESTER 9BLACK 5TUNICS 4.94,0SHORT SLEEVE 1NA12 2MAXI 3NA3 4PLAIN 2MAXI 6ROUND NECK 7UNLINED 8COTTON 9BRIGHT RED 5SHIFT DRESS 4.27,0
1,03 QUARTER SLEEVE 1PULL ON 2KNEE LENGTH 3REGULAR FIT 4PLAIN 2KNEE LENGTH 6ROUND NECK 7UNLINED 8POLYESTER 9BLACK 5TUNICS 4.94,0LONG SLEEVE 1NA12 2KNEE LENGTH 3NA3 4PLAIN 2KNEE LENGTH 6ROUND NECK 7UNLINED 8VISCOSE 9BLACK 5SWING DRESS 4.05,1
2,03 QUARTER SLEEVE 1PULL ON 2KNEE LENGTH 3REGULAR FIT 4PLAIN 2KNEE LENGTH 6ROUND NECK 7UNLINED 8POLYESTER 9BLACK 5TUNICS 4.94,03 QUARTER SLEEVE 1NA12 2MINI 3NA3 4PRINTED 2MINI 6V NECK 7UNLINED 8SYNTHETIC 9NAVY MIX 5SHIFT DRESS 5.3,1
3,03 QUARTER SLEEVE 1PULL ON 2KNEE LENGTH 3REGULAR FIT 4PLAIN 2KNEE LENGTH 6ROUND NECK 7UNLINED 8POLYESTER 9BLACK 5TUNICS 4.94,03 QUARTER SLEEVE 1NA12 2KNEE LENGTH 3NA3 4PRINTED 2KNEE LENGTH 6V NECK 7UNLINED 8SYNTHETIC 9NAVY MIX 5SHIFT DRESS 5.3,1
4,03 QUARTER SLEEVE 1PULL ON 2KNEE LENGTH 3REGULAR FIT 4PLAIN 2KNEE LENGTH 6ROUND NECK 7UNLINED 8POLYESTER 9BLACK 5TUNICS 4.94,03 QUARTER SLEEVE 1NA12 2KNEE LENGTH 3NA3 4PRINTED 2KNEE LENGTH 6V NECK 7UNLINED 8SYNTHETIC 9NAVY MIX 5SHIFT DRESS 5.3,0
5,03 QUARTER SLEEVE 1PULL ON 2KNEE LENGTH 3REGULAR FIT 4PLAIN 2KNEE LENGTH 6ROUND NECK 7UNLINED 8POLYESTER 9BLACK 5TUNICS 4.94,0SLEEVELESS 1BACK BUTTON FASTENING 2KNEE LENGTH 3REGULAR FIT 4EMBROIDERED 2KNEE LENGTH 6ROUND NECK 7UNLINED 8COTTON 9NAVY 5TUNICS 24.89,0
6,0LONG SLEEVE 1TIE FASTENING 2KNEE LENGTH 3REGULAR FIT 4PLAIN 2KNEE LENGTH 6COLLARED NECK 7UNLINED 8POLYESTER 9BLACK 5TUNICS 11.4,0LONG SLEEVE 1NA12 2KNEE LENGTH 3NA3 4PRINTED 2KNEE LENGTH 6V NECK 7UNLINED 8VISCOSE 9NAVY MIX 5WAISTED DRESS 12.56,0
7,0LONG SLEEVE 1TIE FASTENING 2KNEE LENGTH 3REGULAR FIT 4PLAIN 2KNEE LENGTH 6COLLARED NECK 7UNLINED 8POLYESTER 9BLACK 5TUNICS 11.4,0LONG SLEEVE 1TIE FASTENING 2KNEE LENGTH 3REGULAR FIT 4PLAIN 2KNEE LENGTH 6COLLARED NECK 7UNLINED 8POLYESTER 9COCOA 5TUNICS 12.44,1
8,0LONG SLEEVE 1PULL ON 2MAXI 3REGULAR FIT 4PLAIN 2MAXI 6TURTLE NECK 7UNLINED 8VISCOSE MIX 9BLACK 5SLIP DRESS 15.07,0SHORT SLEEVE 1BACK ZIP FASTENING 2MIDI 3SLIM FIT 4PLAIN 2MIDI 6V NECK 7UNLINED 8POLYESTER 9PINK 5BODYCON DRESS 13.71,0
9,0LONG SLEEVE 1PULL ON 2MAXI 3REGULAR FIT 4PLAIN 2MAXI 6TURTLE NECK 7UNLINED 8VISCOSE MIX 9BLACK 5SLIP DRESS 15.07,0LONG SLEEVE 1BUTTON FASTENING 2FULL LENGTH 3NA3 4PRINTED 2FULL LENGTH 6COLLARED NECK 7UNLINED 8VISCOSE 9NAVY MIX 5JUMPSUITS 17.57,1
10,0SLEEVELESS 1BACK ZIP FASTENING 2MIDI 3REGULAR FIT 4PLAIN 2MIDI 6ROUND NECK 7UNLINED 8VISCOSE 9DUSTED PINK 5TUNICS 15.01,0SLEEVELESS 1BACK ZIP FASTENING 2MIDI 3FIT AND FLARE 4PLAIN 2MIDI 6ROUND NECK 7LINED 8TENCEL MIX 9BLUE 5SKATER DRESS 16.43,0
11,0SLEEVELESS 1BACK ZIP FASTENING 2MIDI 3REGULAR FIT 4PLAIN 2MIDI 6ROUND NECK 7UNLINED 8VISCOSE 9DUSTED PINK 5TUNICS 15.01,0SLEEVELESS 1BACK ZIP FASTENING 2MIDI 3REGULAR FIT 4PLAIN 2MIDI 6ROUND NECK 7UNLINED 8VISCOSE 9NAVY 5TUNICS 12.73,1
12,0SLEEVELESS 1BACK ZIP FASTENING 2MIDI 3REGULAR FIT 4PLAIN 2MIDI 6ROUND NECK 7UNLINED 8VISCOSE 9NAVY 5TUNICS 12.73,0SLEEVELESS 1BACK ZIP FASTENING 2MIDI 3REGULAR FIT 4PLAIN 2MIDI 6ROUND NECK 7UNLINED 8VISCOSE 9DUSTED PINK 5TUNICS 15.01,1
